channel;url;type
BerlinerStatement;https://www.youtube.com/channel/UCpvapnCpUn5Xx_Fa3NyrC_A;NA
DIE DA OBEN!;https://www.youtube.com/channel/UCfb7LAYCeJJiT3gyquv7V5Q;NA
Stig Brodersen;https://www.youtube.com/channel/UCPbMnGLeHscshhD7PAEnvbw;NA
IdeenExpo;https://www.youtube.com/channel/UC3u7_C8yuEVtw5O99h0HJ6g;NA
Boris Grundl;https://www.youtube.com/channel/UCsTDfurlxzEZMmqgWts1wgw;NA
Gunnar Kaiser;https://www.youtube.com/channel/UCqU7kO7e9HQo6QpQ6l3Nk_A;NA
La7 Attualità;https://www.youtube.com/channel/UC2_ZJDH5PXEoJJz9zAvBuiA;NA
Politikbeobachter;https://www.youtube.com/channel/UCko9tOOP_1vmFQMYspJ6dhA;NA
A Dios le gusta la senda antigua;https://www.youtube.com/channel/UC_z4dl4jd-wFz5jl792N1_A;NA
Pedro Lara;https://www.youtube.com/channel/UCrbXZ0M6Je3iGEHgBJn_-nA;NA
xSuperiorManx;https://www.youtube.com/channel/UCUlHU1D3Mp3UIahls2_WIyg;NA
Franklin hernandez-castro;https://www.youtube.com/channel/UCyv_SlG8LqsZEFwCgswFQig;NA
BlockbusterMojo;https://www.youtube.com/channel/UCu7paoP6LwbB0NCXw6v8sxQ;NA
Iglesia CEH;https://www.youtube.com/channel/UCsMWB5rr8gEagsCV1s_j6iQ;NA
Pastores Ben y Yajaira Vallejo Tabernáculo Familiar;https://www.youtube.com/channel/UChuwwE4oKJoK_FbtmNecw-A;NA
TradeSmart University;https://www.youtube.com/channel/UCqLUcMIAvgTjKfpeY8vSZtA;NA
NuoViso.TV;https://www.youtube.com/channel/UCPOmsF_XgQohcJhdj58zshg;NA
EventElevator;https://www.youtube.com/channel/UC4jXE-XV5U9ocCTPBBQm_Hg;NA
Neutral Unabhängig;https://www.youtube.com/channel/UCtvxw_-GgtqaNGZQuF7lC_w;NA
Ingo ohne Flamingo - Topic;https://www.youtube.com/channel/UCO4zAY1ryPJBW125Kp8_OSA;NA
Thsar;https://www.youtube.com/channel/UClScCI1TE-cNb9ZCWtJWRBA;NA
Alternative Medien Presse AMP;https://www.youtube.com/channel/UCAq_35LrhDdYZU4nuaYAgig;NA
pmilat;https://www.youtube.com/channel/UCHUmAO0yEUxo8GL0SlPX4ug;NA
Stein-Zeit;https://www.youtube.com/channel/UCqFccwdgmRa9sdGANiitySw;NA
Thomas Wolf;https://www.youtube.com/channel/UCUVLQAAuUZhPLUTtCiBQVvw;NA
TRT World;https://www.youtube.com/channel/UC7fWeaHhqgM4Ry-RMpM2YYw;NA
womoclick;https://www.youtube.com/channel/UCs4rp9byghFPhhmLkc7n-jQ;NA
Die Kobolde;https://www.youtube.com/channel/UCzKTsvuNatSWL1F2LQoWwcA;NA
gamesoftruth;https://www.youtube.com/channel/UClOVHgi5_T3NyQsQPb0WXIw;NA
Kostador News;https://www.youtube.com/channel/UCGoRgQzw0FyxIE15TOk__ag;NA
Bananenrepublik1;https://www.youtube.com/channel/UCSeR6icRb3FLtGOROgPc6-Q;NA
DGB zeitfuersachsen;https://www.youtube.com/channel/UCwGgey9qioeXwQoOrp3Rtjw;NA
Iglesia La Trinidad;https://www.youtube.com/channel/UCTVBNz50eoJAsk7DMfgQmUw;NA
FREEDOMFILMS PR;https://www.youtube.com/channel/UCCZj8RESeHtpQ2bc6zbifVQ;NA
Zentrum Altenberg;https://www.youtube.com/channel/UCf2A07DseyE-VCNvr_8WvoQ;NA
Ruptly;https://www.youtube.com/channel/UC5aeU5hk31cLzq_sAExLVWg;NA
Schütt Wolfgang;https://www.youtube.com/channel/UCz5Tf8qPKMdm1CUkGkdJsWg;NA
Ignaz Bearth;https://www.youtube.com/channel/UCK78LteBgoyE1XlSwBZWd0A;NA
BohnstedtTVChannel;https://www.youtube.com/channel/UC9FVfRehekW_v6CrMoYDeyg;NA
_________________________________;https://www.youtube.com/channel/UCd9KZWPRFi4oRn_hxDT-dZA;NA
janboehm;https://www.youtube.com/channel/UCg8uqLu-Uh6NZD7kAC82XTw;NA
ALEX Berlin;https://www.youtube.com/channel/UCCPttRaDpZZ2Rg14A4R9BGg;NA
FAM Leipzig;https://www.youtube.com/channel/UCuiJSGXEmgsKBi592meCx7A;NA
petercincotti;https://www.youtube.com/channel/UCCM8yiqiuVLmaRnw4mOl_NA;NA
Coldplay;https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw;NA
Peter Capusotto y sus Videos;https://www.youtube.com/channel/UC33zOh8AwVFcOqlXdwjOs6w;NA
Fronteiras do Pensamento;https://www.youtube.com/channel/UCr9-y5fOcA04REYePWrTigw;NA
Portal Administradores;https://www.youtube.com/channel/UCWxR4BfPMrzfcjmQnahtp0Q;NA
a n d s y;https://www.youtube.com/channel/UCZopil30o0u9frByjG3M2DA;NA
Latina.pe;https://www.youtube.com/channel/UC3rDtLrcgr3JS3_3JOW4BAw;NA
Lívia Araújo;https://www.youtube.com/channel/UCSb4Oey_9mXf8bIvgnCHK4g;NA
Parodiadera;https://www.youtube.com/channel/UC2gS6JdP20-sSyZ23RprMww;NA
Blu Radio;https://www.youtube.com/channel/UCUYokk2dJxFZf7NgxTL-ROg;NA
Horst Lüning;https://www.youtube.com/channel/UC5i6nCpwmDVKo98sZD2AAcQ;NA
Oli;https://www.youtube.com/channel/UCqZSdUJqd2T0oqr6BEA3ONw;NA
Goldfinger200;https://www.youtube.com/channel/UCiHVLksqgiTky0Eruh76v2w;NA
Hagen Grell;https://www.youtube.com/channel/UCR-MDRlWYtdHbiCae_2GBWw;NA
Privatinvestor Politik Spezial;https://www.youtube.com/channel/UCi5RJM_p1NajcGdBQfjyU4A;NA
Deutschland Talk;https://www.youtube.com/channel/UCDczoaUWl1ODdwPYu9xg02Q;NA
Fundação Péter Murányi;https://www.youtube.com/channel/UCo7xy0t8zu7jhnGzxEyO-tQ;NA
Benjamin Barbe;https://www.youtube.com/channel/UCcSkx8SXl68oGI9FxX9LSbQ;NA
weltnetzTV;https://www.youtube.com/channel/UCtf05Vriu2dW1ASkPHf8OtA;NA
Bürgerverein Riesa2018eV;https://www.youtube.com/channel/UCc0ZuHxgPggPwOHmFhTz9AQ;NA
zerwas2ky;https://www.youtube.com/channel/UCGyOP_qMgXN0zaF6Ph7iXrA;NA
helo3456;https://www.youtube.com/channel/UC6AwAmSyuFcsXHbQpLBtldQ;NA
Jennifer Schubert;https://www.youtube.com/channel/UCFU1QWOsxWa_jkTwGlMJkiQ;NA
euronews (em português);https://www.youtube.com/channel/UCUmEPYxmnyQDeRUcFkslmQw;NA
Kitty Kante;https://www.youtube.com/channel/UChLNXP6peu-vjGXKFfSpUkg;NA
reklawlairepmi;https://www.youtube.com/channel/UCn7DSLsj0VAhEqLe5sd0d0Q;NA
Julien Aubert;https://www.youtube.com/channel/UC3kN4KnTeaSl7bH_9ldSswg;NA
WikiTubia;https://www.youtube.com/channel/UCwaKtuZAUVRHYr4RztrVdLQ;NA
Jazzrausch Bigband;https://www.youtube.com/channel/UCjEWk1OTJrG8w9QxCpKYCPA;NA
Sheketa Marquez;https://www.youtube.com/channel/UCHqirv4KL-Djmde6eVQ0CAw;NA
afpde;https://www.youtube.com/channel/UCCjkK_Qk9BUytDlAzz0iCZw;news
BÜNDNIS 90/DIE GRÜNEN;https://www.youtube.com/channel/UC7TAA2WYlPfb6eDJCeX4u0w;party
AT5;https://www.youtube.com/channel/UCNo0EFgAgYCXqEZqGOBmKlg;NA
NYU Florence;https://www.youtube.com/channel/UC1w2qLVUTAgjJlL54hULPfQ;NA
PETA Deutschland e.V.;https://www.youtube.com/channel/UCO4Wc93amyc9VDvzTa1bekg;ngo
DIE LINKE. Thüringen;https://www.youtube.com/channel/UCXrfb7xN-St9DVrA0wU5-jQ;party
NÓTÁK - CSÁRDÁSOK;https://www.youtube.com/channel/UCCp9MW9lzqzWmod4xVpM9EQ;NA
Közéleti Gazdasági Krónika Videómagazin;https://www.youtube.com/channel/UCt1EOvTu4Reb2ig1ZYD3Ymw;NA
Iglesia Ammi;https://www.youtube.com/channel/UCHDcnd_xBlVRE4xDNGr9iiw;NA
Koldwink-Schlager Volksmusik Vol. 1;https://www.youtube.com/channel/UCmbfBBlfQZotqCPs1Tk7X9A;NA
Roca Salvación;https://www.youtube.com/channel/UC1hWu0hLXOXeaYVYchOtf_A;NA
labor14 - Thüringer Lernsender;https://www.youtube.com/channel/UCcuaiTKwmZNTtHRrd60YZdA;NA
Ratbas New England Virtual Cycling;https://www.youtube.com/channel/UClLUGenRqe_LTZWeczMwzOA;NA
5viertv;https://www.youtube.com/channel/UCpEKjoawPFkGAQBI_5iHR0Q;NA
juThueringen;https://www.youtube.com/channel/UCdNQvxQ3qElHxGwswZ1JcmQ;party
Dirk Adams;https://www.youtube.com/channel/UCobEAiN0yYEAIofP2vRXROw;NA
moviemaniacsDE;https://www.youtube.com/channel/UCYCEK7i8Uq-XtFtWolofxFg;NA
Tampa Bay Buccaneers;https://www.youtube.com/channel/UC0Wwu7r1ybaaR09ANhudTzA;NA
